"","Participants","Intervention Description(s)","Intervention Characteristics","Control","Included Outcomes (Scale) & Evidence of Effectiveness in Between Subject Statistics"
"Ratanasiripong 2015","N = 60

Mean age [years] = 19.27

Female percentage = NA
Male percentage = NA
Diverse gender percentage = NA","""Participants in the mindfulness 
meditation group also received two trainings; however, they 
were taught Vipassana meditation""

","Intervention's duration [days]: 28
Single Session's duration [minutes]: NA
Frequency [sessions per week]: NA
Delivery mode: Synchronous guiding
Meditation Technique: Vipassana
Meditation category: Deconstructive Family","non-treatment control","Stress (PSS):  N 

Anxiety (state) (STAI):  N 

     "
"Sloan 2016","N = 41

Mean age [years] = 22

Female percentage = 65.85 %
Male percentage = 34.15 %
Diverse gender percentage = 0 %","""guided audio-recorded breathing meditation""

","Intervention's duration [days]: 56
Single Session's duration [minutes]: 9
Frequency [sessions per week]: 0.99
Delivery mode: Asynchronous guiding
Meditation Technique: Breathing Exercise (no further Info)
Meditation category: Attentional Family","non-treatment control","Stress (PSS):  Y 

      "
"Nidich 2009","N = 207

Mean age [years] = 25.5

Female percentage = 58.94 %
Male percentage = 41.06 %
Diverse gender percentage = 0 %","""The TM technique [...] that allows the
ordinary thinking process to become more quiescent and a
unique psychophysiologic state of “restful alertness” to be
gained.28 This distinctive state of restful alertness,28,29 is char-
acterized by decreased respiration rates, sympathetic tone and
hypothalamic–pituitary–adrenal axis activity,30,31 and high
electroencephalography coherence.32""
""The TM technique was taught in a seven-step course33 as
follows: (i) group introductory lecture on potential benefits
and previous research (90 min); (ii) group preparatory lec-
ture, discussing the mechanics and origin of the TM tech-
nique (90 min); (iii) personal interview (10 min); (iv) personal
instruction session (90 min); (v–vii) group “verification and
validation of the practice” sessions on 3 consecutive days fol-
lowing personal instruction, verifying correctness of TM prac-
tice, and providing the understanding of the mechanics of the
TM technique""

","Intervention's duration [days]: 90
Single Session's duration [minutes]: 20
Frequency [sessions per week]: NA
Delivery mode: NA
Meditation Technique: Transcendental Meditation (TM)
Meditation category: Attentional Family","waitlist control","Stress (POMS):  Y 

Anxiety (trait) (POMS):  Y 

Depression (trait) (POMS):  Y 

    "
"Barry 2019","N = 82

Mean age [years] = 38.14

Female percentage = 70.83 %
Male percentage = 29.17 %
Diverse gender percentage = 0 %","- spoken guided mindfulness practice of breath awarenes

""The survey questionnaire and a sealed
trial pack (including mindfulness CD, instructions,
and record sheet for the intervention group [...]) were posted to the participants.""
""spoken guided mindfulness practice of
breath awarenes""

","Intervention's duration [days]: 56
Single Session's duration [minutes]: 30
Frequency [sessions per week]: 5
Delivery mode: Asynchronous guiding
Meditation Technique: Breathing Exercise (no further Info)
Meditation category: Attentional Family","non-treatment control","Depression (trait) (DASS):  Y 

Anxiety (trait) (DASS):  N 

Stress (DASS, PSS):  N 

Self-efficacy (PCQ):  Y 

Resilience Scale (PCQ):  Y 

Hope (PCQ):  Y 

Optimism or positive attributional style (PCQ):  N 

"
"Chen 2013","N = 60

Mean age [years] = 19.5

Female percentage = 86.67 %
Male percentage = 13.33 %
Diverse gender percentage = 0 %","- concentrate on breathing
- eyes closed
- non-judgmentally
- become aware of their thoughts, feelings, and sensations 
- emphasis on the use of “internal eyes”
- body scan

""On day 1, participants were taught how to concentrate on breathing
with their eyes closed, and to non-judgmentally become aware of their
thoughts, feelings, and sensations while focusing on the flow of breath
through the nostrils (Wallace, 2006). ""
""This practice incorporated
traditional Chinese Buddhist cultural concepts, 5 such as emphasis on the
use of “internal eyes” to scan bodily sensations, according to the method
used in an empirical study (Yang et al., 2011).""

","Intervention's duration [days]: 7
Single Session's duration [minutes]: 30
Frequency [sessions per week]: 7
Delivery mode: Synchronous guiding
Meditation Technique: Body Scan; Breathing Exercise (no further Info)
Meditation category: Attentional Family",NA,"Anxiety (trait) (SAS):  N 

Depression (trait) (SDS):  N 

     "
"Warnecke 2011","N = 56

Mean age [years] = 23.92

Female percentage = 63.64 %
Male percentage = 34.85 %
Diverse gender percentage = 1.52 %","""mindfulness intervention""

","Intervention's duration [days]: 56
Single Session's duration [minutes]: 30
Frequency [sessions per week]: 3.3375
Delivery mode: Asynchronous guiding
Meditation Technique: Breathing Exercise (no further Info); Only ""Mindfulness Meditation"" named
Meditation category: Attentional Family","waitlist control","Stress (PSS, DASS):  Y 

Depression (trait) (DASS):  N 

Anxiety (trait) (DASS):  Y 

    "
"Gupta 2020","N = 94

Mean age [years] = 23.92

Female percentage = 42.5 %
Male percentage = 57.5 %
Diverse gender percentage = 0 %","""The treatment given was in the form of guided short meditation sessions at the end of a
scheduled class with participants. Participants were instructed to close their eyes and put
their hands on their upper legs similar to other studies involving meditation sessions""

","Intervention's duration [days]: 60
Single Session's duration [minutes]: 5
Frequency [sessions per week]: NA
Delivery mode: Synchronous guiding
Meditation Technique: Breathing Exercise (no further Info)
Meditation category: Attentional Family","non-treatment control","Mindfulness (trait) (MAAS):  Y 

Well-being or quality of life (SWLS):  Y 

     "
"Johnson-Waddell 2018","N = 60

Mean age [years] = 23.92

Female percentage = 70 %
Male percentage = 30 %
Diverse gender percentage = 0 %","""participants were sent links to the mindfulness meditation training online through email, and
listened to the guided meditations online through YouTube""

","Intervention's duration [days]: 35
Single Session's duration [minutes]: 10
Frequency [sessions per week]: NA
Delivery mode: Asynchronous guiding
Meditation Technique: Only ""Mindfulness Meditation"" named
Meditation category: Attentional Family","non-treatment control","Mindfulness (trait) (MAAS):  N 

      "
"Plummer 2018","N = 94

Mean age [years] = 23

Female percentage = 92.55 %
Male percentage = 7.45 %
Diverse gender percentage = 0 %","""Module 1: Enduring understanding—mindfulness of body
1.1 Introduction and what mindfulness is not
1.2 What mindfulness is/science of mindfulness
1.3 Embodiment: body as a source of unending
information and intuition
1.4 Embodiment/building self-awareness/directed
neuroplasticity
Module 2: Enduring understanding—mindfulness of
emotions
2.1 Emotional landscape: identifying and experiencing the
physiological aspects of emotion
2.2 The skill of opening to negative/unpleasant/
challenging emotions
2.3 The skill of opening to positive/pleasant emotions
2.4 Developing empathy and compassion for ourselves
and our emotional experiences
2.5 Empathy and compassion for the emotional
experiences of others in the clinical setting
Module 3: Enduring understanding—mindfulness of mind
3.1 Recognizing story-interpretation vs reality/experience
3.2 Awareness of thoughts (judging, planning, anticipating,
worrying)
3.3 Discerning appropriate use of mind
3.4 Restoration of awe (invariant cortical representations)
3.5 Applying appropriate use of mind in the clinical setting
Module 4: Enduring understanding—mindfulness of
experience
4.1 The pause: from compulsion/autopilot to
choice/presence
4.2 Recognizing sensations, emotions, thoughts
4.3 Learning to be with what is
4.4 Moving from reacting to responding skillfully in the
clinical setting
4.5 Reflection and integration: living and working mindfully""

","Intervention's duration [days]: 140
Single Session's duration [minutes]: 90
Frequency [sessions per week]: NA
Delivery mode: Synchronous guiding
Meditation Technique: Only ""Mindfulness Meditation"" named
Meditation category: Attentional Family","non-treatment control","Stress (PSS):  N 

Mindfulness (trait) (CAMS-R):  N 

Well-being or quality of life (WHO-QOL-BREF):  N 

Acceptance (CAMS-R):  N 

   "
"Janowiak 1994","N = 62

Mean age [years] = 23

Female percentage = NA
Male percentage = NA
Diverse gender percentage = NA","Intervention 1 (mantra meditation):
NA

Intervention 2 (Shavasana):
NA

","Intervention 1:
Intervention's duration [days]: 56
Single Session's duration [minutes]: NA
Frequency [sessions per week]: NA
Delivery mode: Synchronous guiding
Meditation Technique: Mantra Meditation
Meditation category: Attentional Family

Intervention 2:
Intervention's duration [days]: 56
Single Session's duration [minutes]: NA
Frequency [sessions per week]: NA
Delivery mode: Synchronous guiding
Meditation Technique: Shavasana
Meditation category: Attentional Family","non-treatment control","Stress (BRS)
Intervention 1:  N 

Intervention 2:  N 

      "
